编号	哈希值	中文名	日文名	英文名	图标
1	60839cc6e1e083a5e3c13f540748a3b0	绿色草			1
2	64c3580e5f335a2b293c9ac2b0f76151	大树（任意）			1
3	d64b9e13f7845b6a1891ae036164efb2	大石头			1
4	eab619fba24a1ea828eebee4f54a138f	水			1
5	ae91b6100516cb6922e9bda8f745c008	海水			1
6	b87f259fd5b9e73577859bcaec978df2	高处			1
7	2b9ddf46a169e4d6197a4eeee5dd3746	草（任意）			1
8	745472eedfd53cb1faf571070e974083	照明（任意）			1
9	e71c67357c26055734e19411d14a65e8	草地的花			1
10	e43cfeb61aec994cb563ce7355799420	树果树（任意）			1
11	35999707fe622511730b0d29f74741ce	墓碑			1
12	a6db73bdb909cd3d2e3e4f1f285297c4	花篱（任意）			1
13	6f86ad724cde0e4f874529cb59c0d763	菜田（任意）			1
14	e175406dcf82ca9797350eddbe5b32e2	火堆			1
15	0714ca997d7d2e79bdef90abaa50597c	干草桌子			1
16	36574a9ec17dd56b0706e4c845d31e2a	干草凳子			1
17	e249d0f8ac694946b1e47934c9fd8652	椅子（任意）			1
18	eb46310461151e9f14ab3ddbb4bdab39	瀑布			1
19	84c68c56e97e6439c144521667202b37	桌子（任意）			1
20	57318e18f15d284645fbce20f993d26c	装盘的食物			1
21	276cc8e3fd9a7b7c18f5da7715fe8460	野餐篮			1
22	d7a79819c3b6dfe85be50dcc5d393c0c	单枝花瓶			1
23	1b17b5a528e909c51dd525a5dfcff92c	椅子（长）			1
24	aad95c3a97522f10c0dbce9dbccbb68f	路灯（任意）			1
25	873166faffabb9ee92b0b5e0ea6597c3	沙袋			1
26	e193d9d9bff9ba5cb23c1d1e24cdadd3	急救箱			1
27	0756eef78f6fad39e654b0c3c7ec4c81	箭头指示牌			1
28	50e66b7fc3c2609b24a6ee3a71cd4c86	木板路			1
29	9840e051da92f222a622cba242f85ccd	平板货车			1
30	9e5bba4683d7c026bc04c07b46474944	木箱			1
31	f3f9c696956379b914e2001c28f78f12	圆木椅子			1
32	f6d2f5b142bf0fb4227633ef87629733	树桩（任意）			1
33	10047fd8f485e14b5daa05086cf55350	圆木桌			1
34	7c7eb7d48a4ecd728a1a4b7764b937aa	床铺（任意）			1
35	e2e22fdba755f20395a11fff7a5718b8	玩偶（任意）			1
36	370dbab291dcbad8612f37d22a14819c	细长蜡烛			1
37	917e8f46b1d9ad8899031f595ae6daf1	诡异的蜡烛			1
38	29de3cb2ab153dc44490512fc1140282	吉利蛋植栽			1
39	a496cc0bf544d1453fb3da48989fa9c5	大食花瓶			1
40	f30c3f5218a3103b5210f391c5f6dcf2	蘑菇台灯			1
41	86ab827d93f59651cf2077a3de9a69a5	充气船			1
42	8edcc34e3a49a00cd8addd40992d8e24	沙滩遮阳伞			1
43	96dd4fb99577f58285689742f547b2ce	枯萎的绿色草			1
44	34acda95ba5ba4b3616c16296d180539	沙沙岩石			1
45	4fac488ba7d94102827e315830ea6611	控制盘			1
46	764b48f50a2ba344d23d33db791f29e4	金属桶			1
47	5b10b54cd3dc79c483dba8737cc98c58	乱缠电线			1
48	4984504a37a72e3259e8d2ec9c61d623	木巢箱			1
49	f04cb04a1df516424dc6d16d423b5d8b	树果野餐篮			1
50	421900d7106abd0331972272e0acd4a4	晴雨飘浮泡泡（晴）			1
51	0ce1aa7922bf04b34f9584ed62f55c9f	营火			1
52	a2a7843abfe3275b078f300dbaa2c931	晴雨飘浮泡泡（雨）			1
53	79ecf9b8b75dc3a9f3c864756b235776	博士的宝物			1
54	e7695553b97c1372c3a61fd4b2e34672	遗失物（大）			1
55	771fd219ae47cbc258092f1c7edc7a49	圆木床铺			1
56	5c00d859fe5192c0703f4052b5958800	树果造型椅			1
57	d687bbfdcbcec2881af74b1b4e21e0e5	树果造型床			1
58	bcf609e8c814b2b8665f320437c7c310	树果造型桌			1
59	91ce8fd83805e2388929cce6654b6be3	树果桌灯			1
60	a5ced9c6071d122f18e9d724aba51d77	庭园椅子			1
61	2e280d56cfcc041db065a22511cb48c4	庭园灯			1
62	db782a36c2fcef8aa7c37e82a09356ff	庭园桌子			1
63	53420b5a56b1c6e462c8568c2f07eb27	瞌睡床铺			1
64	4aec586411b6ecf8ab7664877d797808	古董衣柜			1
65	b22d3b1cef9888012bf5959ca43fb8be	古董床铺			1
66	84eb006164d2cae34527979a6a2b0471	古董梳妆台			1
67	ecb676cc25dc043304d580effe811849	古董椅子			1
68	d3f455d8e6f9108a04b945db17a8c573	精灵球沙发			1
69	73195b4528b2c20d9aafdf2bfe4d9edf	精灵球造型床			1
70	9d5c6c69c3e6a26abfd05dd161087ec4	精灵球桌子			1
71	d68a042a880879e4dfa87430b7ce77ef	精灵球灯			1
72	c94c7f08dbe84ebb97cd01a9dcc99a76	黄色草			1
73	8d39fe0abcc862cfe131eef8e878991d	泥水			1
74	f8500c706d8849d8a8578b61f2a63303	自动售货机			1
75	c0b3e6dcfd9de5c41b2d8ee6eb1feb80	海边的花			1
76	4042071aa8de80d69a7c35b0cae26342	大椰子树			1
77	dce144c77a8d92fa3ebac6af7e418aae	风力发电机			1
78	7d90b978aa10cbded537d2cc6be3898e	沙滩椅			1
79	fa676a761a2a51b579e8546f98a71973	纸箱			1
